file,threshold,precision,recall,accepted_fail_predictions,correct_fail_predictions,incorrect_fail_predictions
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.23,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.22,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.21,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.2,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.19,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.18,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.17,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.16,0.0,0.0,1,0,1
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.15,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.14,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.13,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.12,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.11,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.1,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.09,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.08,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.07,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.06,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.05,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.04,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.03,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.02,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.01,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_titanic_AT-gpt-5-mini_verified.jsonl,0.0,0.2903225806451613,1.0,31,9,22
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,1.0,,0.0,0,0,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.99,,0.0,0,0,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.98,,0.0,0,0,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.97,,0.0,0,0,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.96,,0.0,0,0,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.95,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.94,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.93,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.92,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.91,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.9,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.89,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.88,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.87,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.86,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.85,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.84,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.83,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.82,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.81,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.8,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.79,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.78,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.77,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.76,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.75,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.74,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.73,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.72,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.71,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.7,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.69,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.68,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.67,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.66,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.65,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.64,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.63,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.62,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.61,1.0,0.08695652173913043,2,2,0
results\kaggle\structured\kaggle_nlp_AT-gpt-5-mini_verified.jsonl,0.6,1.0,0.08695652173913043,2,2,0
