method,total,coverage,macro_f1,accuracy_all,accuracy_covered,fail_precision,fail_recall,fail_f1,pass_precision,pass_recall,pass_f1,verdict_counts,confusion,path
Direct property agent,75,0.9733333333333334,0.6103230890464934,0.6266666666666667,0.6438356164383562,0.8235294117647058,0.3783783783783784,0.5185185185185186,0.5892857142857143,0.868421052631579,0.7021276595744681,"{'FAIL': 17, 'PASS': 56, 'INCONCLUSIVE': 2}","{'FAIL->FAIL': 14, 'FAIL->PASS': 23, 'PASS->FAIL': 3, 'PASS->INCONCLUSIVE': 2, 'PASS->PASS': 33}",results\synthetic\synthetic_kaggle_titanic_direct-property-agent-openrouter-gpt-4.1-mini_repo5_static.jsonl
VibeTest Qwen ex0,75,0.84,0.6808149405772497,0.6266666666666667,0.746031746031746,0.84,0.5675675675675675,0.6774193548387097,0.6842105263157895,0.6842105263157895,0.6842105263157895,"{'PASS': 38, 'FAIL': 25, 'INCONCLUSIVE': 12}","{'FAIL->FAIL': 21, 'FAIL->INCONCLUSIVE': 4, 'FAIL->PASS': 12, 'PASS->FAIL': 4, 'PASS->INCONCLUSIVE': 8, 'PASS->PASS': 26}",results\synthetic\synthetic_kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0_case_score_bands.jsonl
VibeTest Qwen ex10,75,0.92,0.7912405942504341,0.76,0.8260869565217391,0.8333333333333334,0.8108108108108109,0.8219178082191781,0.8181818181818182,0.7105263157894737,0.7605633802816901,"{'FAIL': 36, 'PASS': 33, 'INCONCLUSIVE': 6}","{'FAIL->FAIL': 30, 'FAIL->INCONCLUSIVE': 1, 'FAIL->PASS': 6, 'PASS->FAIL': 6, 'PASS->INCONCLUSIVE': 5, 'PASS->PASS': 27}",results\synthetic\synthetic_kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples10_case_score_bands.jsonl
VibeTest Qwen ex20,75,0.8933333333333333,0.7746478873239437,0.7333333333333333,0.8208955223880597,0.7941176470588235,0.7297297297297297,0.7605633802816901,0.8484848484848485,0.7368421052631579,0.7887323943661972,"{'PASS': 33, 'FAIL': 34, 'INCONCLUSIVE': 8}","{'FAIL->FAIL': 27, 'FAIL->INCONCLUSIVE': 5, 'FAIL->PASS': 5, 'PASS->FAIL': 7, 'PASS->INCONCLUSIVE': 3, 'PASS->PASS': 28}",results\synthetic\synthetic_kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples20_case_score_bands.jsonl
