examples,threshold,pass_cutoff,coverage,macro_f1,audit_n,true_rate
0,0.51,0.49,0.8781645569620253,0.9261182783422766,53,0.7924528301886793
0,0.55,0.44999999999999996,0.8776371308016878,0.9261060157231291,53,0.7924528301886793
0,0.6,0.4,0.859704641350211,0.9274194410711148,53,0.7924528301886793
0,0.65,0.35,0.8438818565400844,0.9285842798136515,53,0.7924528301886793
0,0.7,0.30000000000000004,0.8354430379746836,0.9290113639071608,53,0.7924528301886793
0,0.75,0.25,0.8270042194092827,0.9264645041310465,51,0.7843137254901961
0,0.8,0.19999999999999996,0.8138185654008439,0.9327563365059444,50,0.8
0,0.85,0.15000000000000002,0.8132911392405063,0.9312999170776415,49,0.7959183673469388
0,0.9,0.09999999999999998,0.475210970464135,0.9406646834916674,28,0.8214285714285714
0,0.91,0.08999999999999997,0.4419831223628692,0.9370785841930591,20,0.8
0,0.92,0.07999999999999996,0.4340717299578059,0.9335963377554313,19,0.7894736842105263
0,0.93,0.06999999999999995,0.42616033755274263,0.9461433302576514,17,0.8235294117647058
0,0.94,0.06000000000000005,0.42616033755274263,0.9461433302576514,17,0.8235294117647058
0,0.95,0.050000000000000044,0.42616033755274263,0.9461433302576514,17,0.8235294117647058
0,0.96,0.040000000000000036,0.0026371308016877636,0.9294615849969752,0,0.7924528301886793
0,0.97,0.030000000000000027,0.0026371308016877636,0.9294615849969752,0,0.7924528301886793
0,0.98,0.020000000000000018,0.0026371308016877636,0.9294615849969752,0,0.7924528301886793
0,0.99,0.010000000000000009,0.002109704641350211,0.9253879379299312,0,0.7924528301886793
10,0.51,0.49,0.9343832020997376,0.9260935020303205,43,0.7906976744186046
10,0.55,0.44999999999999996,0.9328083989501312,0.9260604698720436,43,0.7906976744186046
10,0.6,0.4,0.8986876640419947,0.9283725065557777,43,0.7906976744186046
10,0.65,0.35,0.8918635170603675,0.9288471067641311,43,0.7906976744186046
10,0.7,0.30000000000000004,0.8871391076115486,0.9290395399803164,43,0.7906976744186046
10,0.75,0.25,0.8818897637795275,0.9293608710333938,43,0.7906976744186046
10,0.8,0.19999999999999996,0.8624671916010499,0.9287293759198534,42,0.7857142857142857
10,0.85,0.15000000000000002,0.8377952755905512,0.9252835973018632,35,0.7714285714285715
10,0.9,0.09999999999999998,0.4645669291338583,0.9539755264211682,20,0.85
10,0.91,0.08999999999999997,0.45564304461942257,0.965076870645259,17,0.8823529411764706
10,0.92,0.07999999999999996,0.4251968503937008,0.9576014536644457,14,0.8571428571428571
10,0.93,0.06999999999999995,0.4125984251968504,0.9513086572711785,12,0.8333333333333334
10,0.94,0.06000000000000005,0.3984251968503937,0.9653839575850864,8,0.875
10,0.95,0.050000000000000044,0.3926509186351706,0.9431446770344021,5,0.8
10,0.96,0.040000000000000036,0.004199475065616798,0.9265544582000278,0,0.7954545454545454
10,0.97,0.030000000000000027,0.004199475065616798,0.9265544582000278,0,0.7954545454545454
10,0.98,0.020000000000000018,0.004199475065616798,0.9265544582000278,0,0.7954545454545454
10,0.99,0.010000000000000009,0.0010498687664041995,0.4430379746835443,0,0.7954545454545454
20,0.51,0.49,0.9463722397476341,0.9337792642140469,55,0.8181818181818182
20,0.55,0.44999999999999996,0.9437434279705573,0.9337193689157436,55,0.8181818181818182
20,0.6,0.4,0.907465825446898,0.9358841010401189,55,0.8181818181818182
20,0.65,0.35,0.8980021030494216,0.9364325348491,55,0.8181818181818182
20,0.7,0.30000000000000004,0.88801261829653,0.9369305451829724,55,0.8181818181818182
20,0.75,0.25,0.8548895899053628,0.9382246892931876,49,0.8163265306122449
20,0.8,0.19999999999999996,0.8333333333333334,0.9427512983229767,46,0.8260869565217391
20,0.85,0.15000000000000002,0.8117770767613038,0.9478092634447207,43,0.8372093023255814
20,0.9,0.09999999999999998,0.42481598317560465,0.9506123061745341,19,0.8421052631578947
20,0.91,0.08999999999999997,0.41692954784437436,0.9621468420895611,16,0.875
20,0.92,0.07999999999999996,0.3785488958990536,0.9495338893951075,12,0.8333333333333334
20,0.93,0.06999999999999995,0.3638275499474238,0.9587723628440601,7,0.8571428571428571
20,0.94,0.06000000000000005,0.3491062039957939,0.8971605575632422,3,0.6666666666666666
20,0.95,0.050000000000000044,0.343322818086225,0.4957528957528958,1,0.0
20,0.96,0.040000000000000036,0.006309148264984227,0.4782608695652174,1,0.0
20,0.97,0.030000000000000027,0.006309148264984227,0.4782608695652174,1,0.0
20,0.98,0.020000000000000018,0.006309148264984227,0.4782608695652174,1,0.0
20,0.99,0.010000000000000009,0.0005257623554153522,0.0,1,0.0
